ADD J1,ADD BF,%MothFlight,%EggHatch
175,0,1,0
195,20,2,0
215,40,4,0
235,60,7,0
255,80,10,0
275,100,15,0
295,120,19,0
315,140,24,0
335,160,29,0
355,180,35,0
375,200,40,0
395,220,45,1
415,240,50,2
435,260,52,3
455,280,54,4
475,300,59,6
495,320,63,9
515,340,67,12
535,360,70,20
555,380,73,25
575,400,77,30
595,420,80,35
615,440,83,40
635,460,85,45
655,480,88,49
675,500,90,54
695,520,91,58
715,540,93,62
735,560,94,66
755,580,95,70
775,600,96,73
795,620,97,77
815,640,98,80
835,660,98,82
855,680,99,85
875,700,99,87
895,720,99,89
915,740,100,91
935,760,100,92
955,780,100,94
975,800,100,95
995,820,0,96
1015,840,0,97
1035,860,1,97
1055,880,1,98
1075,900,1,98
1095,920,2,99
1115,940,2,99
1135,960,3,99
1155,980,4,99
1175,1000,5,100
1195,1020,6,100
1215,1040,7,0
1235,1060,9,0
1255,1080,11,0
1275,1100,13,1
1295,1120,15,1
1315,1140,18,2
1335,1160,20,2
1355,1180,23,3
1375,1200,26,3
1395,1220,29,4
1415,1240,33,5
1435,1260,36,7
1455,1280,39,8
1475,1300,43,10
1495,1320,46,11
1515,1340,50,14
1535,1360,53,16
1555,1380,56,18
1575,1400,60,21
1595,1420,63,24
1615,1440,66,27
1635,1460,69,30
1655,1480,72,33
1675,1500,77,36
1695,1520,77,40
1715,1540,79,43
1735,1560,81,46
1755,1580,83,50
1775,1600,85,53
1795,1620,87,56
1815,1640,88,60
1835,1660,90,63
1855,1680,91,66
1875,1700,92,69
1895,1720,93,71
1915,1740,94,74
1935,1760,95,76
1955,1780,96,79
1975,1800,97,81
1995,1820,98,83
2015,1840,98,85
2035,1860,99,86
2055,1880,100,88
2075,1900,0,89
2095,1920,1,91
2115,1940,2,92
2135,1960,2,93
2155,1980,3,94
2175,2000,4,95
2195,2020,5,96
2215,2040,6,97
2235,2060,8,97
2255,2080,9,98
2275,2100,10,99
2295,2120,12,100
2315,2140,14,100
2335,2160,15,1
2355,2180,17,2
2375,2200,20,3
2395,2220,22,3
2415,2240,24,4
2435,2260,26,5
2455,2280,29,7
2475,2300,31,8
2495,2320,34,9
